business_id,id,url,text,rating,time_created,user_id,user_profile_url,user_image_url,user_name
Hilw8GTgqPkTw5Dyt_KwTg,Xf3ggHdwlchVbkKnwa1bHw,https://www.yelp.com/biz/border-field-state-park-san-diego-2?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=Xf3ggHdwlchVbkKnwa1bHw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Many historical items surrounding by this place, there were many difficult paths when you walked inside. Beside me, there were one other car that parked at...",4,2020-06-22 06:17:23,L0bj0TzEmWPlfDeoSJw-5g,https://www.yelp.com/user_details?userid=L0bj0TzEmWPlfDeoSJw-5g,https://s3-media2.fl.yelpcdn.com/photo/jPkfepoWjnh0eijbkzZEmw/o.jpg,Perhaps U.
Hilw8GTgqPkTw5Dyt_KwTg,CJmzOmuCueEn50ihBBQ1DA,https://www.yelp.com/biz/border-field-state-park-san-diego-2?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=CJmzOmuCueEn50ihBBQ1DA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"I took the hike out to the beach and ""southwestern most point"" on an overcast day in May. 

Incidentally - while these ""extreme"" points are somewhat...",4,2019-05-21 14:28:17,_YmeEys9BNEkVIM9nYzLUA,https://www.yelp.com/user_details?userid=_YmeEys9BNEkVIM9nYzLUA,https://s3-media1.fl.yelpcdn.com/photo/is7de6G_grLD_IEZwf3VDA/o.jpg,STEVE B.
Hilw8GTgqPkTw5Dyt_KwTg,TCcR4n8i4LtMBX8cmrdJpQ,https://www.yelp.com/biz/border-field-state-park-san-diego-2?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=TCcR4n8i4LtMBX8cmrdJpQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"I enjoy visiting parks on the weekends.  My kids do as well.  Border FIELD IS IN THE MIDDKE OF THE RIAD AND HAS SEVERAL GOOD FEATURES, PARKING BEING ONE IF...",3,2020-08-06 09:37:45,QTKMjbnHYfSYHKOMXRi9_A,https://www.yelp.com/user_details?userid=QTKMjbnHYfSYHKOMXRi9_A,,Leo H.
xTuelVRXKTFMoUmZ0oNp-A,q20RkaIKMjz_yf9SeTxkJw,https://www.yelp.com/biz/disco-s-paddle-surf-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=q20RkaIKMjz_yf9SeTxkJw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"I have been to OEX twice in the last month. The first time we rented paddle boards, the second we rented the hydro bikes. 
The customer service is awesome,...",5,2020-07-24 06:20:12,do1ojwpbMhXRRcMOH45pFg,https://www.yelp.com/user_details?userid=do1ojwpbMhXRRcMOH45pFg,https://s3-media3.fl.yelpcdn.com/photo/NqAC5S8ONQ6u_2QR52JDjg/o.jpg,Ali D.
xTuelVRXKTFMoUmZ0oNp-A,WlZlAHn0hMMs9ZibBgB8dA,https://www.yelp.com/biz/disco-s-paddle-surf-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=WlZlAHn0hMMs9ZibBgB8dA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Disco's is the place to go. We rented kayaks, they were well kept and very clean. They have lockers (lock and key provided) to store your belongings while...",5,2020-10-17 08:07:12,Jo7-BKsdBrrm78CapfQ5HQ,https://www.yelp.com/user_details?userid=Jo7-BKsdBrrm78CapfQ5HQ,https://s3-media3.fl.yelpcdn.com/photo/KSWkGHR60bTFVa3eCQ8kow/o.jpg,Stevie R.
xTuelVRXKTFMoUmZ0oNp-A,d2zBKhkDkxRKbk33bpmNgA,https://www.yelp.com/biz/disco-s-paddle-surf-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=d2zBKhkDkxRKbk33bpmNgA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,We decided to come here last minute after having lunch at Jimmy's Tavern. The staff was extremely helpful and quickly got us set up. We did one hour for...,5,2020-07-21 07:45:24,1M2nFzuB7vWgxvj7ut88JA,https://www.yelp.com/user_details?userid=1M2nFzuB7vWgxvj7ut88JA,https://s3-media1.fl.yelpcdn.com/photo/Rd9Mh7k84pcJNGmib1kVgQ/o.jpg,Crystal A.
gCgRSRKAoFyT6BS5NHpINw,0ilvp5Mb3WFdug9-7Uz3Rg,https://www.yelp.com/biz/las-americas-premium-outlets-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=0ilvp5Mb3WFdug9-7Uz3Rg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Because of COVID, it's usually not as busy yet the stores still seem to actually keep track of how many people they're allowing inside at a time. They do...",4,2020-11-10 18:34:43,8p2icubYd3Fd97rub9noRA,https://www.yelp.com/user_details?userid=8p2icubYd3Fd97rub9noRA,https://s3-media2.fl.yelpcdn.com/photo/z-0ewTBZ99QJBiBjQeiviA/o.jpg,Giovanni N.
gCgRSRKAoFyT6BS5NHpINw,ZEiW9VtptLY6kJ4ZXOI1_w,https://www.yelp.com/biz/las-americas-premium-outlets-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=ZEiW9VtptLY6kJ4ZXOI1_w&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Only a 20 minute drive from San Diego! It is adjacent to the border with the fence directly behind the rear parking lot. Parking is abundant but tight. 

We...",4,2020-10-17 08:24:02,A0hyctwicRZtqCZfovzzaw,https://www.yelp.com/user_details?userid=A0hyctwicRZtqCZfovzzaw,https://s3-media2.fl.yelpcdn.com/photo/O5hxJgXqMg-bUCQqD5Wulw/o.jpg,Stuart B.
gCgRSRKAoFyT6BS5NHpINw,JhH4XfykfZns7xQWYbTl3Q,https://www.yelp.com/biz/las-americas-premium-outlets-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=JhH4XfykfZns7xQWYbTl3Q&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Within San diego county, I think this outlet has everything else beat. 

You can get whatever you need, clothes, shoes and whatnot. It has everything, and...",5,2020-01-27 22:04:31,mPGPSvDGNI7smgDmzZmq8A,https://www.yelp.com/user_details?userid=mPGPSvDGNI7smgDmzZmq8A,https://s3-media4.fl.yelpcdn.com/photo/eqAAjNVvS89DUoYbFQ_pcA/o.jpg,Ernie C.
EH_ym2Mm-lpeFCX4jOseWw,gqsR8BQYwc1wKRNcECR7zg,https://www.yelp.com/biz/under-armour-factory-house-las-americas-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=gqsR8BQYwc1wKRNcECR7zg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Under Armour has a great selection of work out gear for both men and women. 

I've learned to check their discount racks because I've scored shirts for...",5,2012-04-15 18:48:23,j2PSnnNm0eTCH3rrdCQmnA,https://www.yelp.com/user_details?userid=j2PSnnNm0eTCH3rrdCQmnA,https://s3-media2.fl.yelpcdn.com/photo/uee3aXmbc6KuyKNjSKP8Qg/o.jpg,Amy S.
EH_ym2Mm-lpeFCX4jOseWw,lWUM8x8tMYzgYg_qEXrvQw,https://www.yelp.com/biz/under-armour-factory-house-las-americas-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=lWUM8x8tMYzgYg_qEXrvQw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"There was a group of staff talking amongst each other for 10 minutes. I noticed the staff saw me and was hoping they would come to checkout to assist me,...",1,2020-08-03 15:40:00,93HS_AM_xKPt3BG1dQqRDg,https://www.yelp.com/user_details?userid=93HS_AM_xKPt3BG1dQqRDg,,Binx M.
EH_ym2Mm-lpeFCX4jOseWw,WRzkofv6gN8n6KM6Lvz4nQ,https://www.yelp.com/biz/under-armour-factory-house-las-americas-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=WRzkofv6gN8n6KM6Lvz4nQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Excellent service and great selection , and beautiful place specially the tree with red flowers , could someone tell me what is the name of this tree please",5,2020-02-27 08:12:02,ccyvpSaIpfNJmyApmeO75A,https://www.yelp.com/user_details?userid=ccyvpSaIpfNJmyApmeO75A,,David D.
GD0pEcp8rFl4CN1cqIsJ2g,zAIc0JmnwQuJC11jhR9MYA,https://www.yelp.com/biz/old-navy-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=zAIc0JmnwQuJC11jhR9MYA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Currently in the cash register line; might as well write this now as I will be waiting a while until a cash register is open for me lol. 

I give this Old...",3,2018-12-02 14:20:50,UUB2WKNi06CSewkTiZMyLA,https://www.yelp.com/user_details?userid=UUB2WKNi06CSewkTiZMyLA,https://s3-media4.fl.yelpcdn.com/photo/JDR7MAmjoPbXMPZyXLO59g/o.jpg,Gillian A.
GD0pEcp8rFl4CN1cqIsJ2g,FV5Hxj2m7s-nqtsa1SsblQ,https://www.yelp.com/biz/old-navy-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=FV5Hxj2m7s-nqtsa1SsblQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,So I was talking to my register in English and there was a problem with my purchase.  I got socks it only had two in the packet I wasn't aware it was an...,1,2020-06-14 12:05:40,TnmlLhGlL9BpP3-KCi02MA,https://www.yelp.com/user_details?userid=TnmlLhGlL9BpP3-KCi02MA,https://s3-media4.fl.yelpcdn.com/photo/K96XXs-iCbomvRVpJ8MA3g/o.jpg,Liz P.
GD0pEcp8rFl4CN1cqIsJ2g,_Z_Yw1vWkyMWzl5A2myGtg,https://www.yelp.com/biz/old-navy-san-ysidro?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=_Z_Yw1vWkyMWzl5A2myGtg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Nice store with great discounts. I don't even mind the long line at the cash register. However, there was a female hispanic looking cashier (wearing a very...",1,2019-08-09 07:01:39,-XiuUfdVzndn4_t061EpNQ,https://www.yelp.com/user_details?userid=-XiuUfdVzndn4_t061EpNQ,https://s3-media4.fl.yelpcdn.com/photo/hNj-Ph0ZgBpWvt0NmQq2xw/o.jpg,Maisita P.
L-RzyEzgb6_NSiGOyzL3gA,ELUrozVySV0Le5SL-plagw,https://www.yelp.com/biz/turista-libre-san-diego?adjust_creative=pujtun0dzH2y8clPTbsFbQ&hrid=ELUrozVySV0Le5SL-plagw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=pujtun0dzH2y8clPTbsFbQ,"Excellent job, Turiste Libre!

I especially liked Derrik's description of Tijuana as the ""United Nations of Mexico."" The diversity of the population in...",5,2020-10-15 11:48:32,A7bTENcsteukXpR8KVEmpA,https://www.yelp.com/user_details?userid=A7bTENcsteukXpR8KVEmpA,https://s3-media1.fl.yelpcdn.com/photo/gv6XyAu58-3ik_zZYWU7Zw/o.jpg,Mark R.
